"Name","DisplayName","Status"
"AppIDSvc","Application Identity","Running"
"Appinfo","Application Information","Running"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running"
"Audiosrv","Windows Audio","Running"
"BFE","Base Filtering Engine","Running"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running"
"camsvc","Capability Access Manager Service","Running"
"cbdhsvc_7b8a9","Clipboard User Service_7b8a9","Running"
"CDPSvc","Connected Devices Platform Service","Running"
"CDPUserSvc_7b8a9","Connected Devices Platform User Service_7b8a9","Running"
"ClipSVC","Client License Service (ClipSVC)","Running"
"CoreMessagingRegistrar","CoreMessaging","Running"
"CryptSvc","Cryptographic Services","Running"
"DcomLaunch","DCOM Server Process Launcher","Running"
"DeviceAssociationService","Device Association Service","Running"
"Dhcp","DHCP Client","Running"
"DispBrokerDesktopSvc","Display Policy Service","Running"
"DisplayEnhancementService","Display Enhancement Service","Running"
"Dnscache","DNS Client","Running"
"DPS","Diagnostic Policy Service","Running"
"DsSvc","Data Sharing Service","Running"
"DusmSvc","Data Usage","Running"
"EFS","Encrypting File System (EFS)","Running"
"EventLog","Windows Event Log","Running"
"EventSystem","COM+ Event System","Running"
"FontCache","Windows Font Cache Service","Running"
"GameInputSvc","GameInput Service","Running"
"gpsvc","Group Policy Client","Running"
"hidserv","Human Interface Device Service","Running"
"HNS","Host Network Service","Running"
"HvHost","HV Host Service","Running"
"iphlpsvc","IP Helper","Running"
"KeyIso","CNG Key Isolation","Running"
"LanmanServer","Server","Running"
"LanmanWorkstation","Workstation","Running"
"lfsvc","Geolocation Service","Running"
"LicenseManager","Windows License Manager Service","Running"
"lmhosts","TCP/IP NetBIOS Helper","Running"
"LSM","Local Session Manager","Running"
"mpssvc","Windows Defender Firewall","Running"
"NcbService","Network Connection Broker","Running"
"netprofm","Network List Service","Running"
"NPSMSvc_7b8a9","Now Playing Session Manager Service_7b8a9","Running"
"nsi","Network Store Interface Service","Running"
"nvagent","Network Virtualization Service","Running"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running"
"OneSyncSvc_7b8a9","Sync Host_7b8a9","Running"
"PcaSvc","Program Compatibility Assistant Service","Running"
"PhoneSvc","Phone Service","Running"
"PlugPlay","Plug and Play","Running"
"Power","Power","Running"
"ProfSvc","User Profile Service","Running"
"ProtonVPN Service","ProtonVPN Service","Running"
"ProtonVPN WireGuard","ProtonVPN WireGuard","Running"
"RmSvc","Radio Management Service","Running"
"RpcEptMapper","RPC Endpoint Mapper","Running"
"RpcSs","Remote Procedure Call (RPC)","Running"
"SamSs","Security Accounts Manager","Running"
"Schedule","Task Scheduler","Running"
"SENS","System Event Notification Service","Running"
"SensorService","Sensor Service","Running"
"SharedAccess","Internet Connection Sharing (ICS)","Running"
"ShellHWDetection","Shell Hardware Detection","Running"
"SSDPSRV","SSDP Discovery","Running"
"StateRepository","State Repository Service","Running"
"Steam Client Service","Steam Client Service","Running"
"StiSvc","Windows Image Acquisition (WIA)","Running"
"SysMain","SysMain","Running"
"SystemEventsBroker","System Events Broker","Running"
"TextInputManagementService","Text Input Management Service","Running"
"Themes","Themes","Running"
"TimeBrokerSvc","Time Broker","Running"
"TokenBroker","Web Account Manager","Running"
"TrkWks","Distributed Link Tracking Client","Running"
"UdkUserSvc_7b8a9","Udk User Service_7b8a9","Running"
"UserManager","User Manager","Running"
"VaultSvc","Credential Manager","Running"
"vmcompute","Hyper-V Host Compute Service","Running"
"vmms","Hyper-V Virtual Machine Management","Running"
"Wcmsvc","Windows Connection Manager","Running"
"WdiSystemHost","Diagnostic System Host","Running"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running"
"Winmgmt","Windows Management Instrumentation","Running"
"WpnService","Windows Push Notifications System Service","Running"
"WpnUserService_7b8a9","Windows Push Notifications User Service_7b8a9","Running"
"WSearch","Windows Search","Running"
"WSLService","WSL Service","Running"
